Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_SUED:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_SUED:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_NORD:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_NORD:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_SUED:Zone Mean Air Temperature [C](TimeStep),ZONE_NORD:Zone Mean Air Temperature [C](TimeStep),ZONE_SUED:AFN Node Total Pressure [Pa](TimeStep),ZONE_NORD:AFN Node Total Pressure [Pa](TimeStep),ExtNode   1:AFN Node Total Pressure [Pa](TimeStep),ExtNode   2:AFN Node Total Pressure [Pa](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 5:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 5:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 5:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),SPALT_SUED:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),SPALT_SUED:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),SPALT_SUED:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 2:AFN Surface Venting Window or Door Opening Factor [](TimeStep),GATE 5:AFN Surface Venting Window or Door Opening Factor [](TimeStep),SPALT_SUED:AFN Surface Venting Window or Door Opening Factor [](TimeStep),ZONE_SUED:AFN Zone Infiltration Volume [m3](TimeStep),ZONE_SUED:AFN Zone Infiltration Air Change Rate [ach](TimeStep),ZONE_NORD:AFN Zone Infiltration Volume [m3](TimeStep),ZONE_NORD:AFN Zone Infiltration Air Change Rate [ach](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,410.5325700310642,0.0,389.9917404081789,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,410.6354479479487,0.0,390.09462578932295,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,410.7375245454605,0.0,390.19671274127916,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,410.83880599809356,0.0,390.2980073879589,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,410.93929843354283,0.0,390.3985158074648,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.0390079336941,0.0,390.49824403284583,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.1379405342159,0.0,390.5971980510513,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.2361022257246,0.0,390.69538380537426,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.33349895331787,0.0,390.7928071933567,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.43013661733136,0.0,390.8894740692923,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,16.999999999999996,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.52602107345604,0.0,390.985390242946,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.6211581337849,0.0,391.0805614810089,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.71555356530007,0.0,391.174993506109,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,-2.775296597054374,-3.073576427850768,0.5368128295657091,-6.385685855329135,0.0,13.491198750968117,-3.312109426620083,13.491198752716144,0.0,3.3121094274783673,13.491178129517474,0.0,0.29827983079639386,1.0,1.0,1.0,0.0,0.0,0.0,0.0,411.80921309289977,0.0,391.26869199873187,0.0 
